Metric,Media,AOI,Java Avg, Python Avg, Java Median, Python Median, U-statistic,p-value, cliff_delta
Average_duration_of_fixations,java1,FunctionHeader,217.39354838709679, 202.91474654377882, 209.90322580645162, 214.9516129032258, 112.0,0.38825956354338076, 0.06666666666666667
Average_duration_of_fixations,java1,Loop,207.96666666666667, 212.71428571428572, 217.0, 213.5, 100.0,0.594850251964852, -0.047619047619047616
Average_duration_of_fixations,java1,ReturnValue,234.78809523809522, 216.63010204081633, 220.60714285714286, 220.60714285714286, 110.0,0.42179749572117337, 0.047619047619047616
Average_duration_of_fixations,java1,VarDeclaration,218.75151515151512, 208.92857142857142, 221.0, 200.5, 118.5,0.2851851198007482, 0.12857142857142856
Average_duration_of_fixations,java1,VarUpdate,224.13333333333333, 245.56493506493507, 236.0, 213.45454545454544, 108.5,0.44790229046209595, 0.03333333333333333
Average_duration_of_fixations,java2,BugIsHere,224.33333333333334, 218.0974025974026, 226.0, 218.6818181818182, 118.0,0.29262013835439504, 0.12380952380952381
Average_duration_of_fixations,java2,ForLoop,219.93333333333334, 213.0, 224.0, 216.0, 124.0,0.2096589646082639, 0.18095238095238095
Average_duration_of_fixations,java2,FunctionHeader,220.13333333333333, 238.61688311688312, 216.0, 237.0, 75.5,0.9048394742910969, -0.28095238095238095
Average_duration_of_fixations,java2,VarDeclaration,209.13333333333333, 221.0151515151515, 211.0, 218.10606060606062, 87.5,0.7840295821953029, -0.16666666666666666
Average_duration_of_fixations,py1sem,BugIsHere,217.86458333333334, 186.21205357142858, 211.0, 200.484375, 136.5,0.0880090367421224, 0.3
Average_duration_of_fixations,py1sem,BuggyCall,219.57575757575756, 198.5, 209.63636363636363, 210.5, 132.0,0.12366891107877154, 0.2571428571428571
Average_duration_of_fixations,py1sem,CastingCall,211.28686868686867, 195.92857142857142, 215.0, 205.0, 125.5,0.19124928216216608, 0.19523809523809524
Average_duration_of_fixations,py1sem,CastingFunction,214.05416666666667, 203.55803571428572, 212.0, 214.5, 109.0,0.43926702661886247, 0.0380952380952381
Average_duration_of_fixations,py1sem,MainHeader,219.26666666666668, 258.3333333333333, 232.44444444444446, 233.22222222222223, 58.0,0.9872177665451133, -0.44761904761904764
Average_duration_of_fixations,py1sem,PrintStatement,212.90208333333334, 203.89508928571428, 212.0, 209.265625, 119.0,0.2777944411499891, 0.13333333333333333
Average_duration_of_fixations,py1sem,VarDeclaration,218.82626262626263, 216.78571428571428, 218.0, 222.5, 87.5,0.7840579602242526, -0.16666666666666666
Average_duration_of_fixations,py1syn,BugIsHere,281.13580246913574, 285.037037037037, 278.25925925925924, 272.1296296296296, 115.5,0.3305540870590993, 0.1
Average_duration_of_fixations,py1syn,FirstIfStatement,209.17083333333332, 216.5, 218.78125, 229.5, 78.0,0.8851123966915537, -0.2571428571428571
Average_duration_of_fixations,py1syn,FunctionCall,200.42916666666667, 215.88839285714286, 207.0, 220.21875, 74.0,0.9155040793264393, -0.29523809523809524
Average_duration_of_fixations,py1syn,FunctionHeader,210.12666666666667, 220.11666666666665, 218.0, 217.81666666666666, 97.5,0.6366728158415556, -0.07142857142857142
Average_duration_of_fixations,py1syn,MainHeader,207.64761904761906, 228.50680272108843, 224.61904761904762, 224.61904761904762, 85.5,0.8153124082709007, -0.18571428571428572
Average_duration_of_fixations,py1syn,PrintStatement,208.89166666666668, 186.5, 201.6875, 198.0, 129.0,0.1524450332857638, 0.22857142857142856
Average_duration_of_fixations,py1syn,Return,192.32000000000002, 184.75714285714284, 194.0, 193.3, 112.0,0.38815211274227385, 0.06666666666666667
Average_duration_of_fixations,py1syn,SecondIfStatement,210.44666666666666, 208.85, 213.9, 212.95, 96.0,0.6609937611195776, -0.08571428571428572
Average_duration_of_fixations,py1syn,ThirdIfStatement,200.1425287356322, 208.83990147783248, 208.3793103448276, 217.5, 83.0,0.8375725071178448, -0.20952380952380953
Average_duration_of_fixations,py1syn,VarDeclaration,221.7511111111111, 225.0190476190476, 220.13333333333333, 217.56666666666666, 106.5,0.4825641886681308, 0.014285714285714285
Average_duration_of_fixations,py2sem,BugIsHere,225.33333333333334, 212.12770562770564, 230.0, 212.5, 116.5,0.3155434294246051, 0.10952380952380952
Average_duration_of_fixations,py2sem,BugIsHere2,212.73333333333332, 224.9004329004329, 224.0, 211.0, 101.5,0.5693013815702371, -0.03333333333333333
Average_duration_of_fixations,py2sem,FirstPrint,216.73333333333332, 189.85714285714286, 210.0, 190.5, 148.5,0.03017049395069201, 0.4142857142857143
Average_duration_of_fixations,py2sem,Increment,268.6, 236.57359307359306, 265.0, 255.0151515151515, 125.5,0.19130792946799574, 0.19523809523809524
Average_duration_of_fixations,py2sem,MainHeader,192.06666666666666, 227.21428571428572, 206.0, 212.0, 72.0,0.9302189162851797, -0.3142857142857143
Average_duration_of_fixations,py2sem,SecondPrint,209.06666666666666, 196.31385281385283, 214.0, 198.0, 126.5,0.1795799773930768, 0.20476190476190476
Average_duration_of_fixations,py2sem,VarDeclaration,243.6, 224.06277056277057, 244.0, 229.93939393939394, 119.5,0.27049675395492023, 0.1380952380952381
Average_duration_of_fixations,py2syn,BugIsHere,209.2, 231.5, 212.0, 240.0, 66.0,0.9576581431896091, -0.37142857142857144
Average_duration_of_fixations,py2syn,FirstIfStatement,215.33333333333334, 219.07142857142858, 208.0, 218.0, 88.5,0.7709660915136558, -0.15714285714285714
Average_duration_of_fixations,py2syn,ForLoop,221.33333333333334, 229.32900432900433, 220.0, 227.5, 96.5,0.6527992612847675, -0.08095238095238096
Average_duration_of_fixations,py2syn,MainHeader,226.82380952380953, 228.53061224489792, 235.0, 236.35714285714286, 99.5,0.6035479389596, -0.05238095238095238
Average_duration_of_fixations,py2syn,ThirdIfStatement,195.4, 210.21428571428572, 207.0, 219.5, 84.5,0.8203608028447402, -0.19523809523809524
Average_duration_of_fixations,py2syn,VarDeclaration,210.06666666666666, 227.482683982684, 219.0, 219.37878787878788, 89.5,0.7575312293765317, -0.14761904761904762
Average_duration_of_fixations,pycomp1,ForLoop,244.8, 238.6818181818182, 246.0, 245.27272727272725, 108.0,0.45655271025689925, 0.02857142857142857
Average_duration_of_fixations,pycomp1,FuncCall,211.2, 203.6147186147186, 199.0, 208.3030303030303, 108.5,0.4478831323361087, 0.03333333333333333
Average_duration_of_fixations,pycomp1,FuncHeader,204.62962962962962, 238.38888888888889, 219.4814814814815, 221.74074074074076, 76.5,0.8981631974610566, -0.2714285714285714
Average_duration_of_fixations,pycomp1,FuncReturn,210.0, 212.14285714285714, 200.0, 185.5, 117.0,0.30778150765845236, 0.11428571428571428
Average_duration_of_fixations,pycomp1,InputList,215.26666666666668, 197.92857142857142, 220.0, 202.5, 128.0,0.16293550776470206, 0.21904761904761905
Average_duration_of_fixations,pycomp1,MainHeader,231.73333333333332, 202.5, 231.0, 207.0, 144.0,0.046411400071834516, 0.37142857142857144
Average_duration_of_fixations,pycomp1,PrintStatement,204.3125, 184.19196428571428, 197.0, 181.0, 140.5,0.0631983531754897, 0.3380952380952381
Average_duration_of_fixations,pycomp1,VarDeclaration,222.13333333333333, 237.17099567099567, 216.0, 234.6969696969697, 88.0,0.777495640626632, -0.1619047619047619
Average_duration_of_fixations,pycomp2,ForLoop,218.33333333333334, 199.07142857142858, 228.0, 207.0, 133.0,0.11497374727308468, 0.26666666666666666
Average_duration_of_fixations,pycomp2,FuncHeader,208.6060606060606, 207.4935064935065, 203.8181818181818, 203.8181818181818, 111.5,0.3938384946158527, 0.06190476190476191
Average_duration_of_fixations,pycomp2,JoinSentence,226.14838709677417, 207.74654377880185, 220.2258064516129, 202.0, 120.5,0.25592896696805056, 0.14761904761904762
Average_duration_of_fixations,pycomp2,Return,223.71555555555557, 178.76666666666668, 203.36666666666667, 186.5, 151.0,0.023379403909567734, 0.4380952380952381
Average_duration_of_fixations,pycomp2,SentenceSplit,223.2, 202.978354978355, 227.0, 215.84848484848484, 121.0,0.24934296827329272, 0.1523809523809524
Average_duration_of_fixations,pycomp2,VarDeclaration,225.6, 225.84199134199136, 224.0, 227.39393939393938, 99.5,0.6033107491071111, -0.05238095238095238
Average_pupil_diameter,java1,FunctionHeader,4.011259290322581, 4.028200622119816, 4.02291, 4.12969935483871, 100.0,0.5948961189433432, -0.047619047619047616
Average_pupil_diameter,java1,Loop,4.189402333333334, 4.286249285714286, 4.19135, 4.465655, 92.0,0.7221325187788425, -0.12380952380952381
Average_pupil_diameter,java1,ReturnValue,4.251616547619047, 4.328241301020408, 4.32018, 4.321938035714286, 101.5,0.569590493020458, -0.03333333333333333
Average_pupil_diameter,java1,VarDeclaration,4.118391919191919, 4.120517857142858, 4.14104, 4.298405, 98.0,0.6282896511523738, -0.06666666666666667
Average_pupil_diameter,java1,VarUpdate,4.238389333333333, 4.326055151515152, 4.32312, 4.389670000000001, 96.0,0.6607877479755837, -0.08571428571428572
Average_pupil_diameter,java2,BugIsHere,4.115168000000001, 4.259762316017317, 4.15412, 4.324896212121212, 93.0,0.7073105357695193, -0.11428571428571428
Average_pupil_diameter,java2,ForLoop,4.084777999999999, 4.228816428571428, 4.10202, 4.29125, 93.0,0.7073105357695193, -0.11428571428571428
Average_pupil_diameter,java2,FunctionHeader,3.965008, 4.1283810822510825, 3.98913, 4.150487575757576, 92.0,0.7221325187788425, -0.12380952380952381
Average_pupil_diameter,java2,VarDeclaration,4.008455333333333, 4.1593811471861475, 3.99188, 4.175768030303031, 95.0,0.6766162979972659, -0.09523809523809523
Average_pupil_diameter,py1sem,BugIsHere,4.000873833333333, 4.125422678571429, 4.13267, 4.194648750000001, 89.5,0.7575312293765317, -0.14761904761904762
Average_pupil_diameter,py1sem,BuggyCall,3.9903814545454552, 4.149521428571429, 4.05925, 4.328655, 90.0,0.7506305891748435, -0.14285714285714285
Average_pupil_diameter,py1sem,CastingCall,3.9579296767676766, 4.136842857142858, 3.9849, 4.280984999999999, 88.0,0.777495640626632, -0.1619047619047619
Average_pupil_diameter,py1sem,CastingFunction,3.9837427083333337, 4.090834330357143, 4.08908, 4.2077553125, 91.5,0.7294284623864702, -0.12857142857142856
Average_pupil_diameter,py1sem,MainHeader,4.145630000000001, 4.166228333333334, 4.188151111111111, 4.188151111111111, 96.0,0.672401057953167, -0.08571428571428572
Average_pupil_diameter,py1sem,PrintStatement,3.978176041666666, 4.114850758928572, 3.99154, 4.1737803125, 92.5,0.7147911374011475, -0.11904761904761904
Average_pupil_diameter,py1sem,VarDeclaration,3.919587373737374, 4.131432857142857, 3.86569, 4.323285, 88.0,0.777495640626632, -0.1619047619047619
Average_pupil_diameter,py1syn,BugIsHere,4.202552790123456, 4.435111137566138, 4.347222962962963, 4.347222962962963, 84.0,0.8270080582653834, -0.2
Average_pupil_diameter,py1syn,FirstIfStatement,4.118701291666666, 4.23142, 4.2448596875, 4.34815, 90.0,0.7506570317267073, -0.14285714285714285
Average_pupil_diameter,py1syn,FunctionCall,3.9925940208333324, 4.31165359375, 4.04757, 4.338265156249999, 71.5,0.9311040859066706, -0.319047619047619
Average_pupil_diameter,py1syn,FunctionHeader,4.017367466666666, 4.297327190476191, 4.19244, 4.197105333333333, 85.5,0.8089268540262691, -0.18571428571428572
Average_pupil_diameter,py1syn,MainHeader,3.9436245714285714, 4.155836700680272, 4.089504761904762, 4.089504761904762, 89.0,0.7704895869738361, -0.1523809523809524
Average_pupil_diameter,py1syn,PrintStatement,4.064465625, 4.201897857142858, 4.1975721875000005, 4.32197, 92.0,0.7221568575131712, -0.12380952380952381
Average_pupil_diameter,py1syn,Return,4.1347559333333335, 4.285862833333333, 4.26289, 4.291979833333333, 90.5,0.7439146303483392, -0.1380952380952381
Average_pupil_diameter,py1syn,SecondIfStatement,4.107425066666667, 4.351257047619048, 4.285088666666667, 4.391735, 78.5,0.8809661811392026, -0.2523809523809524
Average_pupil_diameter,py1syn,ThirdIfStatement,4.150134114942529, 4.443438177339902, 4.34095, 4.366653620689656, 76.0,0.9015906676759385, -0.2761904761904762
Average_pupil_diameter,py1syn,VarDeclaration,4.007760088888889, 4.323610095238096, 4.13379, 4.359227833333334, 77.0,0.8935033311203189, -0.26666666666666666
Average_pupil_diameter,py2sem,BugIsHere,4.011831333333333, 4.317355952380953, 4.1219, 4.262661666666666, 76.0,0.9010374489444215, -0.2761904761904762
Average_pupil_diameter,py2sem,BugIsHere2,3.961566666666667, 4.330349935064935, 3.92581, 4.284404545454546, 71.0,0.9339283400864182, -0.3238095238095238
Average_pupil_diameter,py2sem,FirstPrint,3.970337333333333, 4.2205007142857145, 4.03528, 4.2176, 82.0,0.8474655946885568, -0.21904761904761905
Average_pupil_diameter,py2sem,Increment,4.033072666666667, 4.3621290692640695, 4.02674, 4.33992, 74.0,0.9153990391703992, -0.29523809523809524
Average_pupil_diameter,py2sem,MainHeader,3.9164476296296296, 4.1033056613756616, 4.094664814814815, 4.094664814814815, 96.0,0.6618448527071701, -0.08571428571428572
Average_pupil_diameter,py2sem,SecondPrint,3.9938979999999997, 4.368528809523808, 4.03208, 4.268166666666667, 68.0,0.9491465349844533, -0.3523809523809524
Average_pupil_diameter,py2sem,VarDeclaration,3.962219333333333, 4.269203008658009, 4.00821, 4.252816060606061, 71.0,0.9339283400864182, -0.3238095238095238
Average_pupil_diameter,py2syn,BugIsHere,4.107304, 4.271334285714286, 4.16388, 4.448635, 86.0,0.8026291473934963, -0.18095238095238095
Average_pupil_diameter,py2syn,FirstIfStatement,4.107765333333333, 4.286176428571428, 4.17539, 4.415455, 88.0,0.777495640626632, -0.1619047619047619
Average_pupil_diameter,py2syn,ForLoop,4.063753333333333, 4.392756774891774, 3.91621, 4.44974, 76.0,0.9010374489444215, -0.2761904761904762
Average_pupil_diameter,py2syn,MainHeader,3.9003287619047615, 4.13477112244898, 3.8948, 4.100171428571429, 82.0,0.8480626260711089, -0.21904761904761905
Average_pupil_diameter,py2syn,ThirdIfStatement,4.145097333333334, 4.259461428571429, 4.2441, 4.39243, 88.0,0.777495640626632, -0.1619047619047619
Average_pupil_diameter,py2syn,VarDeclaration,4.012363333333333, 4.34597948051948, 3.85239, 4.426254999999999, 75.0,0.9084267373357343, -0.2857142857142857
Average_pupil_diameter,pycomp1,ForLoop,4.066628, 4.362582402597403, 4.08413, 4.383811818181818, 78.0,0.8849688509868017, -0.2571428571428571
Average_pupil_diameter,pycomp1,FuncCall,4.104835333333333, 4.424886341991342, 4.16429, 4.429234393939394, 79.0,0.8762728546176122, -0.24761904761904763
Average_pupil_diameter,pycomp1,FuncHeader,3.8701874814814814, 4.114308015873016, 4.069437407407407, 4.069437407407407, 78.5,0.8816922773100488, -0.2523809523809524
Average_pupil_diameter,pycomp1,FuncReturn,4.122631333333333, 4.29749, 4.14234, 4.323805, 88.0,0.777495640626632, -0.1619047619047619
Average_pupil_diameter,pycomp1,InputList,4.093898, 4.338822857142857, 4.13039, 4.43053, 85.0,0.8145244827334517, -0.19047619047619047
Average_pupil_diameter,pycomp1,MainHeader,4.098532666666666, 4.367689017857143, 4.22026, 4.2757615625, 85.0,0.8145539449810104, -0.19047619047619047
Average_pupil_diameter,pycomp1,PrintStatement,4.15009675, 4.437895089285714, 4.2719, 4.438710625000001, 80.5,0.8624128013480747, -0.23333333333333334
Average_pupil_diameter,pycomp1,VarDeclaration,3.986408666666667, 4.2317357359307355, 3.87388, 4.247840151515152, 81.0,0.8575254611576726, -0.22857142857142856
Average_pupil_diameter,pycomp2,ForLoop,4.110381333333334, 4.236963571428572, 4.27073, 4.360225, 93.0,0.7073105357695193, -0.11428571428571428
Average_pupil_diameter,pycomp2,FuncHeader,4.083288060606061, 4.143323506493507, 4.179598181818182, 4.179598181818182, 102.0,0.5624040984660249, -0.02857142857142857
Average_pupil_diameter,pycomp2,JoinSentence,4.115109311827957, 4.261119953917051, 4.286559677419355, 4.322979838709678, 89.0,0.7643834106817446, -0.1523809523809524
Average_pupil_diameter,pycomp2,Return,4.155972311111111, 4.40540819047619, 4.356692333333332, 4.376786166666666, 88.0,0.7777763714146047, -0.1619047619047619
Average_pupil_diameter,pycomp2,SentenceSplit,4.015965333333333, 4.238959956709957, 3.95663, 4.2692696969696975, 84.0,0.8259643560649289, -0.2
Average_pupil_diameter,pycomp2,VarDeclaration,4.035943333333333, 4.308215584415584, 4.08658, 4.396750000000001, 79.0,0.8762728546176122, -0.24761904761904763
Duration_of_first_fixation,java1,FunctionHeader,222.0021505376344, 216.9331797235023, 200.0, 198.0, 104.0,0.5261111072926928, -0.009523809523809525
Duration_of_first_fixation,java1,Loop,182.4, 180.21428571428572, 160.0, 160.5, 110.5,0.41359824922548927, 0.05238095238095238
Duration_of_first_fixation,java1,ReturnValue,221.47142857142856, 177.57653061224488, 195.35714285714286, 189.17857142857144, 134.0,0.10570383093820407, 0.2761904761904762
Duration_of_first_fixation,java1,VarDeclaration,178.64646464646466, 147.21428571428572, 172.6969696969697, 141.5, 141.5,0.05802678570757802, 0.3476190476190476
Duration_of_first_fixation,java1,VarUpdate,220.13333333333333, 217.09307359307357, 203.0, 180.0, 114.5,0.34718285759201006, 0.09047619047619047
Duration_of_first_fixation,java2,BugIsHere,206.76666666666668, 218.0162337662338, 202.0, 219.0, 94.0,0.6921749669285637, -0.10476190476190476
Duration_of_first_fixation,java2,ForLoop,181.4, 168.5, 170.0, 165.5, 113.5,0.36344042227870527, 0.08095238095238096
Duration_of_first_fixation,java2,FunctionHeader,216.8, 213.4047619047619, 218.0, 209.33333333333331, 102.0,0.5607255460442576, -0.02857142857142857
Duration_of_first_fixation,java2,VarDeclaration,173.33333333333334, 203.41125541125544, 173.0, 150.0, 99.5,0.6032983105282407, -0.05238095238095238
Duration_of_first_fixation,py1sem,BugIsHere,194.775, 130.47321428571428, 185.0, 134.0, 154.0,0.017086765908788697, 0.4666666666666667
Duration_of_first_fixation,py1sem,BuggyCall,206.7858585858586, 196.57142857142858, 192.0, 183.0, 108.0,0.4565473785154526, 0.02857142857142857
Duration_of_first_fixation,py1sem,CastingCall,218.55151515151513, 207.71428571428572, 223.27272727272728, 171.5, 128.0,0.16299513183557734, 0.21904761904761905
Duration_of_first_fixation,py1sem,CastingFunction,227.10416666666666, 171.25446428571428, 197.0, 193.0, 126.5,0.1796095912142071, 0.20476190476190476
Duration_of_first_fixation,py1sem,MainHeader,246.36666666666667, 234.0952380952381, 234.05555555555554, 234.05555555555554, 113.0,0.36217821317235954, 0.0761904761904762
Duration_of_first_fixation,py1sem,PrintStatement,166.15833333333333, 190.02678571428572, 160.0, 171.0, 94.5,0.6844565705753949, -0.1
Duration_of_first_fixation,py1sem,VarDeclaration,180.96565656565656, 142.78571428571428, 164.4848484848485, 160.0, 126.0,0.1854460550189896, 0.2
Duration_of_first_fixation,py1syn,BugIsHere,324.93333333333334, 312.14285714285717, 298.0, 272.5, 112.0,0.38784145698255745, 0.06666666666666667
Duration_of_first_fixation,py1syn,FirstIfStatement,186.82083333333333, 237.35714285714286, 188.0, 229.0, 82.5,0.8423524707045961, -0.21428571428571427
Duration_of_first_fixation,py1syn,FunctionCall,197.31041666666667, 147.26116071428572, 158.0, 162.5, 130.0,0.14232615482840122, 0.23809523809523808
Duration_of_first_fixation,py1syn,FunctionHeader,201.62666666666667, 241.8190476190476, 197.0, 257.5, 77.0,0.8935598308177037, -0.26666666666666666
Duration_of_first_fixation,py1syn,MainHeader,217.33333333333337, 214.76190476190476, 216.33333333333334, 216.33333333333334, 109.0,0.43759590153397504, 0.0380952380952381
Duration_of_first_fixation,py1syn,PrintStatement,176.84166666666667, 176.28571428571428, 177.0, 179.5, 101.5,0.569360609955436, -0.03333333333333333
Duration_of_first_fixation,py1syn,Return,192.6, 186.64285714285714, 185.0, 178.0, 120.0,0.2631412784546875, 0.14285714285714285
Duration_of_first_fixation,py1syn,SecondIfStatement,202.12, 201.18571428571428, 190.6, 184.3, 105.5,0.5, 0.004761904761904762
Duration_of_first_fixation,py1syn,ThirdIfStatement,198.38620689655173, 167.49014778325122, 197.0, 170.0, 131.0,0.13219458128780087, 0.24761904761904763
Duration_of_first_fixation,py1syn,VarDeclaration,211.4, 167.42857142857142, 190.0, 170.5, 142.5,0.052679980224956784, 0.35714285714285715
Duration_of_first_fixation,py2sem,BugIsHere,192.06666666666666, 204.5995670995671, 167.0, 165.0, 103.5,0.5347954698380878, -0.014285714285714285
Duration_of_first_fixation,py2sem,BugIsHere2,166.8, 197.77489177489178, 157.0, 176.42424242424244, 94.5,0.6844776078863336, -0.1
Duration_of_first_fixation,py2sem,FirstPrint,237.6, 212.5, 185.0, 221.0, 106.0,0.49129291207185144, 0.009523809523809525
Duration_of_first_fixation,py2sem,Increment,256.06666666666666, 316.1753246753247, 193.0, 257.0, 92.0,0.7221325187788425, -0.12380952380952381
Duration_of_first_fixation,py2sem,MainHeader,173.63703703703703, 244.4814814814815, 180.0, 215.5925925925926, 57.0,0.9834854979698684, -0.45714285714285713
Duration_of_first_fixation,py2sem,SecondPrint,194.93333333333334, 169.17099567099567, 198.0, 152.5, 151.0,0.023515140738758107, 0.4380952380952381
Duration_of_first_fixation,py2sem,VarDeclaration,178.13333333333333, 149.83982683982686, 164.0, 157.0, 128.0,0.16299513183557734, 0.21904761904761905
Duration_of_first_fixation,py2syn,BugIsHere,292.6, 228.71428571428572, 255.0, 190.0, 129.0,0.15253440531144324, 0.22857142857142856
Duration_of_first_fixation,py2syn,FirstIfStatement,198.6, 219.57142857142858, 173.0, 204.0, 101.5,0.5693098334797454, -0.03333333333333333
Duration_of_first_fixation,py2syn,ForLoop,193.2, 196.5064935064935, 178.0, 167.5, 113.0,0.37167985202281806, 0.0761904761904762
Duration_of_first_fixation,py2syn,MainHeader,253.94761904761904, 229.77551020408166, 237.0, 240.21428571428572, 123.0,0.22188564469587851, 0.17142857142857143
Duration_of_first_fixation,py2syn,ThirdIfStatement,179.73333333333332, 221.42857142857142, 153.0, 184.5, 85.0,0.8146128934285015, -0.19047619047619047
Duration_of_first_fixation,py2syn,VarDeclaration,158.26666666666668, 240.8852813852814, 167.0, 177.0, 73.5,0.9190429702514448, -0.3
Duration_of_first_fixation,pycomp1,ForLoop,212.0, 228.4978354978355, 197.0, 212.4848484848485, 102.5,0.552097709537904, -0.023809523809523808
Duration_of_first_fixation,pycomp1,FuncCall,199.86666666666667, 167.55627705627708, 187.0, 180.5, 122.0,0.23567123807063006, 0.1619047619047619
Duration_of_first_fixation,pycomp1,FuncHeader,214.45185185185184, 232.84126984126982, 218.92592592592592, 215.46296296296296, 99.5,0.6037237593406303, -0.05238095238095238
Duration_of_first_fixation,pycomp1,FuncReturn,244.33333333333334, 174.85714285714286, 202.0, 177.0, 144.0,0.046431522028226965, 0.37142857142857144
Duration_of_first_fixation,pycomp1,InputList,201.0, 244.28571428571428, 185.0, 193.5, 102.0,0.5607106995415676, -0.02857142857142857
Duration_of_first_fixation,pycomp1,MainHeader,204.2, 180.02678571428572, 187.0, 193.34375, 119.5,0.2705216899098053, 0.1380952380952381
Duration_of_first_fixation,pycomp1,PrintStatement,192.09166666666667, 170.09821428571428, 180.375, 171.5, 130.0,0.1424152055975908, 0.23809523809523808
